rank,player_name,age,gender,club,league,nationality,position,preffered_foot,height_(in cm),weight_(in kg),alt_position,ovr,pac,pac+-,sho,sho+-,pas,pas+-,dri,dri+-,def,def+-,phy,phy+-,image_url
3509,Abdülkadir Ömür,25,M,Hull City,EFL Championship,Turkey,CAM,Left,168,70,"['RM', 'CM']",72,82,-2,65,-2,70,-2,77,-4,53,0,56,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231777.png?padding=0.7
3509,Jean Onana,24,M,Beşiktaş,Trendyol Süper Lig,Cameroon,CM,Right,189,85,['CDM'],72,54,0,66,0,69,-1,70,-1,71,0,82,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p255934.png?padding=0.7
3509,Frank Onyeka,26,M,FC Augsburg,Bundesliga,Nigeria,CM,Right,183,70,['CDM'],72,77,-2,63,6,66,2,73,3,72,1,76,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239529.png?padding=0.7
3509,Joao Ortiz,28,M,IDV,Libertadores,Ecuador,CDM,Right,177,70,"['CM', 'CB']",72,72,0,68,0,67,0,70,0,68,2,77,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p254887.png?padding=0.7
3509,Gabriel Osho,26,M,AJ Auxerre,Ligue 1 McDonald's,Nigeria,CB,Right,185,70,,72,70,-2,30,0,54,0,63,1,72,2,74,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231185.png?padding=0.7
3509,Jonathan Osorio,32,M,Toronto FC,MLS,Canada,CM,Right,175,68,"['CDM', 'LM']",72,58,2,68,-1,70,-1,74,-1,61,-2,65,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p213439.png?padding=0.7
3509,Yordan Osorio,30,M,Parma,Serie A Enilive,Venezuela,CB,Right,186,80,,72,51,-4,31,0,45,1,51,0,72,3,81,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237297.png?padding=0.7
3509,Leo Østigård,24,M,Stade Rennais FC,Ligue 1 McDonald's,Norway,CB,Right,182,80,,72,64,-4,37,0,50,0,61,0,71,0,79,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p238516.png?padding=0.7
3509,Rémi Oudin,28,M,Lecce,Serie A Enilive,France,RW,Left,185,79,"['LW', 'CAM', 'RM']",72,63,-7,70,1,72,2,74,1,33,0,63,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233265.png?padding=0.7
3509,Amira Ould Braham,26,F,FC Nantes,Arkema PL,Algeria,LM,Right,164,61,"['CM', 'LW']",72,64,0,57,0,69,0,70,0,39,0,54,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p72444.png?padding=0.7
3509,Berkay Özcan,26,M,Başakşehir,Trendyol Süper Lig,Turkey,CM,Right,178,72,"['CDM', 'ST']",72,70,0,64,0,72,0,75,0,55,0,69,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235717.png?padding=0.7
3509,Berat Özdemir,26,M,Başakşehir,Trendyol Süper Lig,Turkey,CM,Right,188,84,['CDM'],72,71,0,60,0,70,0,69,0,69,2,76,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p248854.png?padding=0.7
3509,Rômulo,29,M,Rongcheng FC,CSL,Brazil,RW,Left,169,74,"['ST', 'CM', 'RM']",72,80,0,69,0,71,0,72,0,52,0,69,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226096.png?padding=0.7
3509,Kendry Páez,17,M,IDV,Libertadores,Ecuador,CAM,Left,177,71,"['RW', 'CM']",72,79,0,67,0,69,0,72,0,43,0,52,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p274559.png?padding=0.7
3509,Paik Seung Ho,27,M,Birmingham City,EFL League One,Korea Republic,CM,Right,180,78,['CDM'],72,68,-1,67,-1,70,-1,73,-1,64,0,75,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237424.png?padding=0.7
3509,Carlos Palacios,24,M,Colo-Colo,Libertadores,Chile,LW,Right,184,81,"['RW', 'CAM', 'LM']",72,78,0,66,0,69,0,75,0,27,0,66,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242971.png?padding=0.7
3509,Tiago Palacios,23,M,Estudiantes,Libertadores,Uruguay,RM,Right,167,68,"['LM', 'RW']",72,77,0,68,0,66,0,75,0,41,0,52,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p261015.png?padding=0.7
3509,Renato Veiga,21,M,Chelsea,Premier League,Portugal,CDM,Left,190,85,"['CB', 'LB']",72,73,0,60,0,70,0,70,0,70,0,72,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p273906.png?padding=0.7
3509,Alex Palmer,28,M,West Brom,EFL Championship,England,GK,Right,191,85,,72,73,2,72,3,71,4,72,2,30,0,71,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p223909.png?padding=0.7
3509,Antonio Palumbo,28,M,Modena,Serie BKT,Italy,CM,Left,182,76,['CAM'],72,67,0,64,2,70,0,73,1,60,2,76,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p224982.png?padding=0.7
3509,Park Jin Seob,29,M,Jeonbuk Hyundai,K League 1,Korea Republic,CB,Right,184,80,"['CDM', 'CM']",72,69,1,54,0,59,0,63,0,71,0,83,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p243673.png?padding=0.7
3509,Keaton Parks,27,M,New York City FC,MLS,United States,CDM,Right,191,81,['CM'],72,34,-1,62,0,68,0,68,0,68,0,74,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241783.png?padding=0.7
3509,Lucas Passerini,30,M,Belgrano,Sudamericana,Argentina,ST,Right,191,98,,72,44,0,75,0,48,0,63,0,28,0,79,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p224854.png?padding=0.7
3509,Remko Pasveer,41,M,Ajax,Eredivisie,Holland,GK,Right,187,88,,72,70,-3,75,0,77,-3,68,-7,33,0,77,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p162328.png?padding=0.7
3509,Anthony Patterson,24,M,Sunderland,EFL Championship,England,GK,Right,189,87,,72,71,1,69,1,72,0,75,1,24,0,68,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p246417.png?padding=0.7
3509,Poppy Pattinson,24,F,Brighton,Barclays WSL,England,LB,Left,166,60,['LM'],72,69,0,49,2,66,0,62,0,71,0,63,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265336.png?padding=0.7
3509,Lea Paulick,25,F,Frankfurt,GPFBL,Germany,GK,Right,175,63,,72,72,0,69,0,68,0,73,0,47,0,75,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p275523.png?padding=0.7
3509,Dimitrios Pelkas,31,M,Başakşehir,Trendyol Süper Lig,Greece,CAM,Right,175,73,"['LM', 'CM']",72,74,0,68,0,72,0,75,0,44,0,60,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p208053.png?padding=0.7
3509,Facundo Pellistri,22,M,Panathinaikos,Hellas Liga,Uruguay,RM,Right,175,65,['RW'],72,80,-1,62,-2,66,1,75,0,38,6,63,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p253283.png?padding=0.7
3509,Sergio Peña,29,M,Malmö FF,Allsvenskan,Peru,CM,Right,178,70,['CDM'],72,53,-2,66,0,76,-1,76,0,58,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p236259.png?padding=0.7
3509,Alexandre Penetra,23,M,AZ,Eredivisie,Portugal,CB,Right,186,79,['RB'],72,67,0,36,0,53,1,51,3,74,3,72,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p264288.png?padding=0.7
3509,Alison Peniguel,26,F,En Avant Guingamp,Arkema PL,France,ST,Right,170,60,,72,76,0,71,-1,55,0,73,1,34,0,57,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p267662.png?padding=0.7
3509,Gabriel Pereira,24,M,F.C. København,3F Superliga,Brazil,CB,Right,188,82,,72,59,0,35,0,47,0,52,0,73,0,79,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p274187.png?padding=0.7
3509,Daniel Peretz,24,M,FC Bayern München,Bundesliga,Israel,GK,Right,190,89,,72,74,0,74,0,69,0,73,0,35,0,63,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p277823.png?padding=0.7
3509,Sebastián Pérez,31,M,Boavista FC,Liga Portugal,Colombia,CDM,Right,175,72,['CM'],72,67,-1,62,3,62,0,68,1,67,2,73,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p214606.png?padding=0.7
3509,Marco Pérez,34,M,Junior,Libertadores,Colombia,ST,Right,182,76,,72,78,-9,75,0,61,0,64,1,31,0,75,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p199964.png?padding=0.7
3509,Laura Pérez,26,F,Granada CF,Liga F,Spain,RM,Right,166,59,['RW'],72,74,0,66,0,70,0,71,0,54,0,65,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p275787.png?padding=0.7
3509,Baldomero Perlaza,32,M,Indep. Medellín,Sudamericana,Colombia,CDM,Right,187,82,['CM'],72,57,0,54,0,60,0,61,0,73,0,84,-3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226747.png?padding=0.7
3509,Gaëtan Perrin,28,M,AJ Auxerre,Ligue 1 McDonald's,France,LM,Right,169,63,"['RM', 'LW']",72,80,0,68,1,67,1,74,1,37,0,64,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232360.png?padding=0.7
3509,Jakub Pešek,31,M,Sparta Praha,Česká Liga,Czech Republic,RW,Right,174,67,"['LM', 'RM']",72,86,0,66,-1,68,-1,73,-2,28,0,46,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p263288.png?padding=0.7
3509,Patric Pfeiffer,25,M,BSC Young Boys,CSSL,Germany,CB,Right,196,91,,72,71,-1,35,0,47,0,57,0,70,-4,77,-4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241590.png?padding=0.7
3509,Pablo Piatti,35,M,Estudiantes,Libertadores,Argentina,LM,Left,163,63,"['RM', 'LW']",72,70,-4,68,-2,71,0,75,2,56,2,46,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p183899.png?padding=0.7
3509,Victoria Pickett,28,F,NC Courage,NWSL,Canada,CM,Right,168,59,['CDM'],72,54,0,67,0,72,0,74,0,59,0,50,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265506.png?padding=0.7
3509,Hamilton Piedra,31,M,Dep. Cuenca,Sudamericana,Ecuador,GK,Right,182,78,,72,73,3,70,0,72,0,70,0,42,0,72,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p225678.png?padding=0.7
3509,Marvin Pieringer,25,M,Heidenheim,Bundesliga,Germany,ST,Right,191,82,,72,69,3,70,1,58,2,68,1,30,0,78,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p260290.png?padding=0.7
3509,Ronaël Pierre-Gabriel,26,M,Dinamo Zagreb,Liga Hrvatska,France,RB,Right,177,80,"['CB', 'LB']",72,74,1,48,0,61,-1,69,0,72,1,74,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231685.png?padding=0.7
3509,Mirko Pigliacelli,31,M,Catanzaro,Serie BKT,Italy,GK,Right,184,83,,72,72,-1,71,-1,83,0,72,-1,48,0,70,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p205530.png?padding=0.7
3509,Carlo Pinsoglio,34,M,Juventus,Serie A Enilive,Italy,GK,Left,194,85,,72,72,-1,71,-1,62,0,74,-1,42,0,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p189342.png?padding=0.7
3509,Lucas Pires,23,M,Burnley,EFL Championship,Brazil,LB,Left,182,77,"['LM', 'LW']",72,76,0,49,0,64,0,64,0,67,0,66,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p277068.png?padding=0.7
3509,Lukas Podolski,39,M,Górnik Zabrze,PKO BP Ekstraklasa,Germany,CAM,Left,183,88,['ST'],72,49,0,78,0,73,0,71,0,36,0,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p150516.png?padding=0.7
3509,Diego Polenta,32,M,Nacional,Libertadores,Uruguay,CB,Left,185,87,,72,66,0,42,0,61,0,58,0,69,0,83,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p188485.png?padding=0.7
3509,Andy Polo,30,M,Universitario,Libertadores,Peru,RM,Right,173,70,['RW'],72,89,0,58,1,67,5,72,0,59,0,63,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p223637.png?padding=0.7
3509,Juan Camilo Portilla,26,M,Talleres,Libertadores,Colombia,CDM,Right,185,80,['CM'],72,69,0,66,0,66,0,68,0,66,0,72,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p248191.png?padding=0.7
3509,Juan Portillo,24,M,Talleres,Libertadores,Argentina,LB,Right,182,75,"['CM', 'CDM']",72,79,0,57,0,65,0,68,0,69,0,79,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p259788.png?padding=0.7
3509,Samuel Portugal,30,M,FC Porto,Liga Portugal,Brazil,GK,Left,188,80,,72,73,0,67,0,76,0,75,0,43,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227819.png?padding=0.7
3509,Matteo Prati,20,M,Cagliari,Serie A Enilive,Italy,CDM,Right,185,75,['CM'],72,59,0,65,0,72,0,71,0,69,0,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p272725.png?padding=0.7
3509,Alan Pulido,33,M,Sporting KC,MLS,Mexico,ST,Right,177,83,['CAM'],72,73,0,72,0,66,1,72,0,37,0,71,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192930.png?padding=0.7
3509,Pulido,33,M,SD Huesca,LALIGA HYPERMOTION,Spain,CB,Right,186,72,,72,41,0,43,0,54,0,53,0,72,-1,81,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p200519.png?padding=0.7
3509,Facundo Quignon,31,M,Belgrano,Sudamericana,Argentina,CDM,Left,178,73,['CM'],72,59,0,53,0,66,0,74,0,70,0,74,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p202331.png?padding=0.7
3509,José Quintero,34,M,LDU Quito,Libertadores,Ecuador,RB,Right,178,77,['RM'],72,83,0,59,0,67,3,69,0,67,1,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231550.png?padding=0.7
3509,Uroš Račić,26,M,West Brom,EFL Championship,Serbia,CM,Right,193,81,['CDM'],72,57,-7,68,-5,72,-2,71,-2,70,-6,79,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p244253.png?padding=0.7
3509,Nemanja Radoja,31,M,Sporting KC,MLS,Serbia,CM,Right,186,77,['CDM'],72,50,0,61,0,70,0,70,0,69,-1,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p225028.png?padding=0.7
3509,Ionuț Andrei Radu,27,M,Lombardia FC,Serie A Enilive,Romania,GK,Right,188,70,,72,76,0,68,0,70,0,76,0,40,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p234102.png?padding=0.7
3509,Gastón Ramírez,33,M,Peñarol,Libertadores,Uruguay,CAM,Left,183,78,"['CM', 'CDM']",72,61,5,70,-1,74,0,74,-2,43,4,61,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p201508.png?padding=0.7
3509,Adrián Ramos,38,M,América de Cali,Sudamericana,Colombia,ST,Right,184,78,,72,66,0,72,0,65,0,67,0,42,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p176619.png?padding=0.7
3509,Filippo Ranocchia,23,M,Palermo,Serie BKT,Italy,CM,Right,184,76,"['CAM', 'CDM']",72,74,9,69,10,73,2,74,3,62,1,74,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p244874.png?padding=0.7
3509,Youri Regeer,21,M,FC Twente,Eredivisie,Holland,RB,Right,178,68,"['LB', 'CM']",72,74,5,59,4,70,5,73,6,67,5,65,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265390.png?padding=0.7
3509,Chadi Riad,21,M,Crystal Palace,Premier League,Morocco,CB,Left,190,78,,72,62,0,32,0,54,0,54,0,72,0,74,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258490.png?padding=0.7
3509,Kiko Bondoso,29,M,Rio Ave FC,Liga Portugal,Portugal,LW,Right,171,66,"['RW', 'LM']",72,76,0,69,0,69,0,75,0,33,0,53,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p262430.png?padding=0.7
3509,Omar Richards,26,M,Rio Ave FC,Liga Portugal,England,LB,Left,174,69,,72,70,0,46,0,61,0,72,0,70,0,58,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235026.png?padding=0.7
3509,Annalena Rieke,25,F,SGS Essen,GPFBL,Germany,CM,Right,172,63,['CDM'],72,57,-6,69,2,73,0,71,0,66,9,64,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p272341.png?padding=0.7
3509,Stefan Ristovski,32,M,Dinamo Zagreb,Liga Hrvatska,North Macedonia,RB,Right,183,72,['CB'],72,80,-1,60,-1,66,0,66,-2,69,-2,76,-3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p205965.png?padding=0.7
3509,Jayde Riviere,23,F,Manchester Utd,Barclays WSL,Canada,RB,Right,163,55,,72,68,1,51,0,66,1,68,4,72,5,66,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p250751.png?padding=0.7
3509,Miles Robinson,27,M,FC Cincinnati,MLS,United States,CB,Right,188,84,,72,82,0,35,0,54,0,67,0,70,0,78,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237255.png?padding=0.7
3509,Luis Miguel Rodríguez,39,M,Atlético Tucumán,Primera División,Argentina,ST,Right,167,67,['CAM'],72,58,-6,76,-1,73,-2,76,-3,43,0,63,-4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192906.png?padding=0.7
3509,Ángel,37,M,CD Tenerife,LALIGA HYPERMOTION,Spain,ST,Right,172,68,,72,75,7,72,-1,60,-1,72,0,36,2,67,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p177633.png?padding=0.7
3509,Davy Roef,30,M,KAA Gent,1A Pro League,Belgium,GK,Right,187,84,,72,73,1,71,0,71,1,72,2,51,0,71,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p204549.png?padding=0.7
3509,Clau Blanco,27,F,UD Tenerife,Liga F,Spain,RB,Right,152,45,['RW'],72,78,0,64,-5,71,1,77,3,64,0,51,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p272234.png?padding=0.7
3509,Felipe Román,29,M,Atl. Nacional,Liga Colombia,Colombia,RB,Right,183,80,,72,82,-3,52,0,65,0,64,0,65,2,73,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237242.png?padding=0.7
3509,Luka Romero,20,M,D. Alavés,LALIGA EA SPORTS,Argentina,RM,Left,165,64,['RW'],72,79,2,65,4,66,1,75,1,53,0,57,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258467.png?padding=0.7
3509,Philippe Rommens,27,M,Ferencvárosi TC,Magyar Liga,Belgium,CDM,Right,175,69,['CM'],72,55,-6,70,11,78,5,69,4,65,9,67,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p262403.png?padding=0.7
3509,Rafael Romo,34,M,U. Católica,Sudamericana,Venezuela,GK,Right,196,91,,72,75,0,68,0,68,0,74,0,36,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p193359.png?padding=0.7
3509,Facundo Roncaglia,37,M,Sarmiento,Primera División,Argentina,CB,Right,179,77,['RB'],72,57,0,51,0,63,0,60,0,73,0,72,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p183966.png?padding=0.7
3509,Fabricio,24,M,Levante UD,LALIGA HYPERMOTION,Brazil,ST,Right,186,73,,72,81,0,71,0,63,0,72,0,36,0,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p277514.png?padding=0.7
3509,Lazaros Rota,27,M,AEK Athens,Hellas Liga,Greece,RB,Right,180,74,,72,78,0,44,3,62,-1,69,-1,67,1,70,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p255541.png?padding=0.7
3509,Tom Rothe,20,M,Union Berlin,Bundesliga,Germany,LB,Left,192,85,['LM'],72,69,2,45,4,68,11,68,10,69,9,76,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p268116.png?padding=0.7
3509,Joe Rothwell,29,M,Leeds United,EFL Championship,England,CM,Right,183,77,['CDM'],72,75,-2,65,-1,72,2,74,-1,62,1,68,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p213693.png?padding=0.7
3509,Albion Rrahmani,24,M,Sparta Praha,Česká Liga,Kosovo,ST,Right,188,80,,72,72,0,73,0,56,0,68,0,28,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p277565.png?padding=0.7
3509,Diego Rubio,31,M,Austin FC,MLS,Chile,ST,Right,180,77,['CAM'],72,68,0,72,-1,65,0,71,0,48,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p204709.png?padding=0.7
3509,Carl Rushworth,23,M,Hull City,EFL Championship,England,GK,Left,188,86,,72,72,4,70,3,71,2,73,4,55,0,71,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p263339.png?padding=0.7
3509,Johnny Russell,34,M,Sporting KC,MLS,Scotland,RW,Left,178,76,['RM'],72,75,1,72,0,70,0,74,0,50,0,78,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p185068.png?padding=0.7
3509,Matěj Ryneš,23,M,Sparta Praha,Česká Liga,Czech Republic,LB,Left,183,73,['LM'],72,77,1,66,4,71,7,71,2,66,16,75,16,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p266374.png?padding=0.7
3509,Falaye Sacko,29,M,Montpellier,Ligue 1 McDonald's,Mali,RB,Right,179,68,,72,87,-5,45,0,62,0,71,-1,66,-3,72,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p230147.png?padding=0.7
3509,Mujaid,24,M,KRC Genk,1A Pro League,Spain,CB,Right,183,88,,72,63,-4,26,0,57,8,55,0,72,0,77,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p243530.png?padding=0.7
3509,Bartosz Salamon,33,M,Lech Poznań,PKO BP Ekstraklasa,Poland,CB,Right,194,84,,72,46,-5,47,0,58,0,54,-1,72,0,80,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p189558.png?padding=0.7
3509,Maximiliano Salas,26,M,Racing Club,Sudamericana,Argentina,ST,Left,174,82,"['RW', 'LW']",72,72,1,74,2,67,0,73,0,27,0,66,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p244205.png?padding=0.7
3509,Alan Saldivia,22,M,Colo-Colo,Libertadores,Uruguay,CB,Right,180,80,,72,73,4,25,0,47,3,57,3,71,6,79,8,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p275371.png?padding=0.7
3509,Manolis Saliakas,28,M,FC St. Pauli,Bundesliga,Greece,RB,Right,175,75,['RM'],72,69,1,57,0,66,0,69,1,67,1,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p222542.png?padding=0.7
3509,Dániel Sallói,28,M,Sporting KC,MLS,Hungary,LW,Right,185,68,['LM'],72,75,0,72,-1,69,1,72,1,35,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p232148.png?padding=0.7
3509,Mbwana Ally Samatta,31,M,PAOK FC,Hellas Liga,Tanzania,ST,Right,183,75,,72,75,-3,71,0,63,1,69,0,37,6,73,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p218066.png?padding=0.7
3509,Matisse Samoise,23,M,KAA Gent,1A Pro League,Belgium,RM,Right,180,70,"['RB', 'RW']",72,76,0,63,2,69,1,70,2,64,0,72,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p259043.png?padding=0.7
3509,Mario Sampirisi,32,M,Reggiana,Serie BKT,Italy,CB,Right,188,75,['RB'],72,68,1,41,0,61,0,61,-1,71,0,78,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p206601.png?padding=0.7
3509,Borja Sánchez,28,M,Burgos CF,LALIGA HYPERMOTION,Spain,LM,Right,185,80,['LW'],72,75,0,68,0,70,0,73,0,49,0,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241117.png?padding=0.7
3509,Juanlu Sánchez,21,M,Sevilla FC,LALIGA EA SPORTS,Spain,RB,Right,186,70,,72,65,11,59,0,63,3,73,2,69,12,62,19,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p264174.png?padding=0.7
3509,Philipp Sander,26,M,M'gladbach,Bundesliga,Germany,CM,Right,185,77,['CDM'],72,73,6,58,3,71,4,73,3,65,3,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p243354.png?padding=0.7
3509,Ivo Rodrigues,29,M,Arouca,Liga Portugal,Portugal,CM,Right,180,76,['CAM'],72,72,-3,70,0,72,3,77,2,51,8,66,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226877.png?padding=0.7
3509,Killian Sardella,22,M,RSC Anderlecht,1A Pro League,Belgium,RB,Right,174,64,['LB'],72,74,1,38,1,67,2,73,2,67,6,64,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252488.png?padding=0.7
3509,Manprit Sarkaria,28,M,SK Sturm Graz,Ö. Bundesliga,Austria,ST,Left,180,70,,72,82,2,72,0,71,0,74,0,36,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241536.png?padding=0.7
3509,Kevin Schade,22,M,Brentford,Premier League,Germany,LW,Right,185,74,"['ST', 'RW', 'LM']",72,94,0,65,1,59,0,73,1,29,0,64,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p260926.png?padding=0.7
3509,Kjell Scherpen,24,M,SK Sturm Graz,Ö. Bundesliga,Holland,GK,Right,206,85,,72,76,7,67,2,70,4,73,6,41,0,72,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p243675.png?padding=0.7
3509,Andreas Schjelderup,20,M,SL Benfica,Liga Portugal,Norway,LW,Right,176,68,"['RW', 'CAM', 'LM']",72,78,0,66,1,65,1,77,0,35,0,54,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p260952.png?padding=0.7
3509,Niklas Schmidt,26,M,Toulouse FC,Ligue 1 McDonald's,Germany,CM,Right,184,89,['CAM'],72,61,-2,70,0,74,1,74,0,60,7,68,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235022.png?padding=0.7
3509,Sydney Schneider,25,F,Chicago Red Stars,NWSL,Jamaica,GK,Right,178,64,,72,71,0,69,0,72,0,75,0,24,0,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p246205.png?padding=0.7
